name,variant,category,x,y
Maven Pro 700,700,sans-serif,-16.149002,11.795342
Maven Pro 900,900,sans-serif,-16.596632,10.911466
Pathway Gothic One regular,regular,sans-serif,-13.569662,10.120475
Amatic SC regular,regular,handwriting,-11.815809,12.344005
Amatic SC 700,700,handwriting,-12.472892,11.287155
Archivo Black regular,regular,sans-serif,-15.730291,11.751857
Rokkitt 100,100,serif,-6.3522444,14.985465
Rokkitt 200,200,serif,-6.599839,14.343036
Rokkitt 300,300,serif,-6.8418627,13.640447
Rokkitt regular,regular,serif,-6.210592,12.311108
Rokkitt 500,500,serif,-5.574632,10.916146
Rokkitt 600,600,serif,-5.8602014,10.576418
Rokkitt 700,700,serif,-5.317444,9.754205
Rokkitt 800,800,serif,-5.2438226,9.103868
Rokkitt 900,900,serif,-5.379887,8.856488
Crete Round regular,regular,serif,-4.403024,10.308855
Crete Round italic,italic,serif,-10.117765,8.31899
Libre Franklin 100,100,sans-serif,-9.116556,16.288353
Libre Franklin 100italic,100italic,sans-serif,-9.234652,14.565217
Libre Franklin 200,200,sans-serif,-9.798637,15.699241
Libre Franklin 200italic,200italic,sans-serif,-9.409325,13.778639
Libre Franklin 300,300,sans-serif,-10.767047,15.975459
Libre Franklin 300italic,300italic,sans-serif,-10.307354,13.003034
Libre Franklin regular,regular,sans-serif,-11.927257,15.424033
Libre Franklin italic,italic,sans-serif,-11.058434,11.497749
Libre Franklin 500,500,sans-serif,-13.343681,14.083341
Libre Franklin 500italic,500italic,sans-serif,-11.537249,8.737896
Libre Franklin 600,600,sans-serif,-14.277228,12.841342
Libre Franklin 600italic,600italic,sans-serif,-11.40627,7.409458
Libre Franklin 700,700,sans-serif,-14.856163,12.215888
Libre Franklin 700italic,700italic,sans-serif,-11.704395,7.2046328
Libre Franklin 800,800,sans-serif,-15.68828,11.9731865
Libre Franklin 800italic,800italic,sans-serif,-12.305513,6.5923195
Libre Franklin 900,900,sans-serif,-16.632446,11.912136
Libre Franklin 900italic,900italic,sans-serif,-12.281885,6.3545814
Ropa Sans regular,regular,sans-serif,-14.121399,11.639468
Ropa Sans italic,italic,sans-serif,-12.367759,7.933887
