name,variant,category,x,y,cluster_in_cat,cluster_key
Exo 2 200,200,sans-serif,-1.2249656,11.352642,1,sans-serif-1
Exo 2 200italic,200italic,sans-serif,1.3174212,9.970443,1,sans-serif-1
Exo 2 300,300,sans-serif,-1.8135792,10.642415,1,sans-serif-1
Exo 2 300italic,300italic,sans-serif,1.5202215,9.50357,1,sans-serif-1
Exo 2 regular,regular,sans-serif,-3.2157793,9.786708,1,sans-serif-1
Exo 2 italic,italic,sans-serif,2.0349514,9.149732,2,sans-serif-2
Exo 2 500,500,sans-serif,-3.4962583,9.35414,0,sans-serif-0
Exo 2 500italic,500italic,sans-serif,2.3240118,9.143975,2,sans-serif-2
Exo 2 600,600,sans-serif,-4.1707463,8.412741,0,sans-serif-0
Exo 2 600italic,600italic,sans-serif,3.4520667,9.311739,2,sans-serif-2
Exo 2 700,700,sans-serif,-3.9730942,7.909269,0,sans-serif-0
Exo 2 700italic,700italic,sans-serif,3.6444962,9.324982,2,sans-serif-2
Exo 2 800,800,sans-serif,-4.1571093,7.2510233,0,sans-serif-0
Exo 2 800italic,800italic,sans-serif,3.796588,9.258582,2,sans-serif-2
Exo 2 900,900,sans-serif,-4.3719897,7.000811,0,sans-serif-0
Exo 2 900italic,900italic,sans-serif,3.8812373,9.353139,2,sans-serif-2
Asap regular,regular,sans-serif,-2.6418073,9.420874,1,sans-serif-1
Asap italic,italic,sans-serif,2.5172384,9.30976,2,sans-serif-2
Asap 500,500,sans-serif,-2.7848148,8.089017,0,sans-serif-0
Asap 500italic,500italic,sans-serif,0.2822952,8.058628,2,sans-serif-2
Asap 700,700,sans-serif,-2.7941337,7.9976497,0,sans-serif-0
Asap 700italic,700italic,sans-serif,0.2000181,8.001854,2,sans-serif-2
Varela Round regular,regular,sans-serif,-0.94804543,8.947369,1,sans-serif-1
Abel regular,regular,sans-serif,-2.3522606,9.932476,1,sans-serif-1
Quicksand 300,300,sans-serif,-0.89807445,10.831103,1,sans-serif-1
Quicksand regular,regular,sans-serif,-1.146421,10.564664,1,sans-serif-1
Quicksand 500,500,sans-serif,-0.94690603,8.887398,1,sans-serif-1
Quicksand 700,700,sans-serif,-0.9803805,8.383922,0,sans-serif-0
Gloria Hallelujah regular,regular,handwriting,-0.32388085,8.43428,0,handwriting-0
Pacifico regular,regular,handwriting,0.4694515,6.4595337,2,handwriting-2
Rubik 300,300,sans-serif,-1.4800714,10.691286,1,sans-serif-1
Rubik 300italic,300italic,sans-serif,1.4586763,9.570347,1,sans-serif-1
Rubik regular,regular,sans-serif,-3.6105773,10.653646,1,sans-serif-1
Rubik italic,italic,sans-serif,2.1372342,9.114843,2,sans-serif-2
Rubik 500,500,sans-serif,-4.7702627,8.213247,0,sans-serif-0
Rubik 500italic,500italic,sans-serif,3.0749233,8.515786,2,sans-serif-2
Rubik 700,700,sans-serif,-4.6490564,6.7438226,0,sans-serif-0
Rubik 700italic,700italic,sans-serif,3.4030464,8.37546,2,sans-serif-2
Rubik 900,900,sans-serif,-5.061118,6.580476,0,sans-serif-0
Rubik 900italic,900italic,sans-serif,3.6040509,8.259343,2,sans-serif-2
Karla regular,regular,sans-serif,-2.8763719,10.172668,1,sans-serif-1
Karla italic,italic,sans-serif,-1.3487881,9.673032,1,sans-serif-1
Karla 700,700,sans-serif,-3.8209984,8.7348585,0,sans-serif-0
Karla 700italic,700italic,sans-serif,3.234928,9.625049,2,sans-serif-2
Ubuntu Condensed regular,regular,sans-serif,-2.7077596,7.3269396,0,sans-serif-0
Work Sans 100,100,sans-serif,-0.3102642,11.953785,1,sans-serif-1
Work Sans 200,200,sans-serif,-0.43965518,11.891506,1,sans-serif-1
Work Sans 300,300,sans-serif,-1.3577942,11.04202,1,sans-serif-1
Work Sans regular,regular,sans-serif,-2.7960708,10.18601,1,sans-serif-1
Work Sans 500,500,sans-serif,-3.5082517,9.238726,1,sans-serif-1
Work Sans 600,600,sans-serif,-4.8579063,7.8775945,0,sans-serif-0
Work Sans 700,700,sans-serif,-4.7754717,7.377314,0,sans-serif-0
Work Sans 800,800,sans-serif,-4.9582973,6.947792,0,sans-serif-0
Work Sans 900,900,sans-serif,-5.0543427,6.6210895,0,sans-serif-0
Cuprum regular,regular,sans-serif,-2.7227376,7.5256166,0,sans-serif-0
