name,variant,category,x,y
Roboto Mono italic,italic,monospace,-8.363962,15.411438
Roboto Mono 500,500,monospace,-9.4862,15.672043
Roboto Mono 500italic,500italic,monospace,-8.068594,15.905905
Roboto Mono 700,700,monospace,-9.49905,15.904766
Roboto Mono 700italic,700italic,monospace,-8.17145,16.233389
Josefin Sans 100,100,sans-serif,-9.844044,10.788629
Josefin Sans 100italic,100italic,sans-serif,-9.105143,12.00978
Josefin Sans 300,300,sans-serif,-8.640484,11.072685
Josefin Sans 300italic,300italic,sans-serif,-7.6885657,12.26216
Josefin Sans regular,regular,sans-serif,-6.9194465,11.631112
Josefin Sans italic,italic,sans-serif,-6.232059,13.047423
Josefin Sans 600,600,sans-serif,-3.1564279,13.067245
Josefin Sans 600italic,600italic,sans-serif,-5.0635242,14.804408
Josefin Sans 700,700,sans-serif,-2.3376486,13.047046
Josefin Sans 700italic,700italic,sans-serif,-4.604288,15.154845
Bree Serif regular,regular,serif,-1.6311113,1.4531033
Catamaran 100,100,sans-serif,-6.711558,10.507756
Catamaran 200,200,sans-serif,-6.3421025,10.870328
Catamaran 300,300,sans-serif,-5.889592,11.26141
Catamaran regular,regular,sans-serif,-3.5893655,12.785785
Catamaran 500,500,sans-serif,-2.6265655,12.81398
Catamaran 600,600,sans-serif,-0.6410594,12.262426
Catamaran 700,700,sans-serif,-0.10666047,11.141616
Catamaran 800,800,sans-serif,0.6577982,11.457554
Catamaran 900,900,sans-serif,1.5432814,11.093485
Merriweather Sans 300,300,sans-serif,-4.9479413,10.63824
Merriweather Sans 300italic,300italic,sans-serif,-5.5413322,13.795198
Merriweather Sans regular,regular,sans-serif,-2.6665888,10.735854
Merriweather Sans italic,italic,sans-serif,-4.8076663,14.711678
Merriweather Sans 700,700,sans-serif,-0.32706708,10.776357
Merriweather Sans 700italic,700italic,sans-serif,-4.448992,16.20913
Merriweather Sans 800,800,sans-serif,0.6458415,10.518322
Merriweather Sans 800italic,800italic,sans-serif,-4.417365,16.931822
