name,variant,category,x,y
Rokkitt 300,300,serif,-9.978405,-7.5161834
Rokkitt regular,regular,serif,16.011906,6.129797
Rokkitt 500,500,serif,-3.4987683,-2.1273737
Rokkitt 600,600,serif,-3.6373665,-2.0657132
Rokkitt 700,700,serif,-3.5046613,-2.3080535
Rokkitt 800,800,serif,6.509116,-14.310139
Rokkitt 900,900,serif,6.371373,-14.462976
Crete Round regular,regular,serif,6.5788274,13.930546
Crete Round italic,italic,serif,1.0126303,25.346474
Libre Franklin 100,100,sans-serif,-10.45757,-0.72426796
Libre Franklin 100italic,100italic,sans-serif,0.22643025,-1.0904113
Libre Franklin 200,200,sans-serif,-10.510893,-0.802071
Libre Franklin 200italic,200italic,sans-serif,0.20519465,-1.0525694
Libre Franklin 300,300,sans-serif,19.324493,18.861364
Libre Franklin 300italic,300italic,sans-serif,-0.5975761,14.688251
Libre Franklin regular,regular,sans-serif,-1.7531198,-13.123805
Libre Franklin italic,italic,sans-serif,-0.54615915,14.870769
Libre Franklin 500,500,sans-serif,-13.75606,-1.0673871
Libre Franklin 500italic,500italic,sans-serif,3.8570702,-5.4747624
Libre Franklin 600,600,sans-serif,-13.719636,-1.4172165
Libre Franklin 600italic,600italic,sans-serif,3.878166,-5.348314
Libre Franklin 700,700,sans-serif,-13.890817,-1.6544262
Libre Franklin 700italic,700italic,sans-serif,3.554065,-5.147143
Libre Franklin 800,800,sans-serif,0.21848364,8.8849125
Libre Franklin 800italic,800italic,sans-serif,3.70768,-5.38134
Libre Franklin 900,900,sans-serif,0.2585403,8.890556
Libre Franklin 900italic,900italic,sans-serif,3.4310298,-5.788361
Ropa Sans regular,regular,sans-serif,13.237149,7.7365613
Ropa Sans italic,italic,sans-serif,11.911625,-8.591592
Alegreya Sans 100,100,sans-serif,23.242228,12.797918
Alegreya Sans 100italic,100italic,sans-serif,-8.978829,10.8890915
Alegreya Sans 300,300,sans-serif,6.230629,6.7158766
Alegreya Sans 300italic,300italic,sans-serif,-8.88063,11.039318
Alegreya Sans regular,regular,sans-serif,17.201702,-0.23382145
Alegreya Sans italic,italic,sans-serif,13.004858,-5.6267977
Alegreya Sans 500,500,sans-serif,-2.1746387,-0.1470986
Alegreya Sans 500italic,500italic,sans-serif,13.092387,-5.5900507
Alegreya Sans 700,700,sans-serif,-1.9003818,15.698533
Alegreya Sans 700italic,700italic,sans-serif,13.331867,-5.2823052
Alegreya Sans 800,800,sans-serif,-2.2150297,15.9505825
Alegreya Sans 800italic,800italic,sans-serif,13.552763,-5.0035906
Alegreya Sans 900,900,sans-serif,-2.1214957,15.6980095
Alegreya Sans 900italic,900italic,sans-serif,13.603515,-4.8589787
Patua One regular,regular,display,6.361635,13.738767
Source Serif Pro regular,regular,serif,-1.4829674,1.1727551
Source Serif Pro 600,600,serif,3.128163,11.613175
Source Serif Pro 700,700,serif,3.3675807,11.498222
Architects Daughter regular,regular,handwriting,-7.9738846,13.695913
Istok Web regular,regular,sans-serif,14.695733,12.908954
Istok Web italic,italic,sans-serif,0.46707445,13.204279
Istok Web 700,700,sans-serif,14.107662,-1.201292
Istok Web 700italic,700italic,sans-serif,0.21717808,13.437014
Cinzel regular,regular,serif,1.7162567,19.46817
Cinzel 700,700,serif,20.452448,2.1806812
Cinzel 900,900,serif,20.253859,2.155047
BenchNine 300,300,sans-serif,-5.347742,-4.013248
BenchNine regular,regular,sans-serif,-5.194584,-4.1212645
BenchNine 700,700,sans-serif,-5.100702,-4.0283256
Comfortaa 300,300,display,3.816805,15.620764
Comfortaa regular,regular,display,3.5801191,15.860227
