name,variant,category,x,y,cluster
Crimson Text 700italic,700italic,serif,0.4672746,3.6152174,2
Yanone Kaffeesatz 200,200,sans-serif,-1.0033591,11.456668,0
Yanone Kaffeesatz 300,300,sans-serif,-1.7269934,10.007272,0
Yanone Kaffeesatz regular,regular,sans-serif,-1.9708594,7.130783,1
Yanone Kaffeesatz 700,700,sans-serif,-1.8815452,7.1018734,1
Roboto Mono 100,100,monospace,5.5455446,8.064476,0
Roboto Mono 100italic,100italic,monospace,5.5107756,8.141547,0
Roboto Mono 300,300,monospace,5.773256,7.9157395,0
Roboto Mono 300italic,300italic,monospace,5.546066,8.148602,0
Roboto Mono regular,regular,monospace,5.9637094,7.9238276,0
Roboto Mono italic,italic,monospace,5.399996,8.324885,2
Roboto Mono 500,500,monospace,6.1817155,8.064808,1
Roboto Mono 500italic,500italic,monospace,5.4060674,8.372695,2
Roboto Mono 700,700,monospace,6.2553434,8.131166,1
Roboto Mono 700italic,700italic,monospace,5.4516463,8.385189,2
Josefin Sans 100,100,sans-serif,-0.33918822,11.890197,0
Josefin Sans 100italic,100italic,sans-serif,1.1615433,10.436742,0
Josefin Sans 300,300,sans-serif,-0.69124776,11.089976,0
Josefin Sans 300italic,300italic,sans-serif,-0.5444843,10.59631,0
Josefin Sans regular,regular,sans-serif,-1.2209957,10.648597,0
Josefin Sans italic,italic,sans-serif,-0.61415476,10.31606,0
Josefin Sans 600,600,sans-serif,-3.5073214,10.372258,0
Josefin Sans 600italic,600italic,sans-serif,2.876066,9.553087,2
Josefin Sans 700,700,sans-serif,-3.5486195,10.301562,1
Josefin Sans 700italic,700italic,sans-serif,2.951898,9.539782,2
Bree Serif regular,regular,serif,-4.5452623,0.40961108,3
Catamaran 100,100,sans-serif,-1.8865585,11.126582,0
Catamaran 200,200,sans-serif,-1.9578168,11.131503,0
Catamaran 300,300,sans-serif,-2.1920185,11.056936,0
Catamaran regular,regular,sans-serif,-4.041181,10.428674,0
Catamaran 500,500,sans-serif,-4.2635026,9.91574,1
Catamaran 600,600,sans-serif,-4.480235,8.225721,1
Catamaran 700,700,sans-serif,-4.2927175,7.866238,1
Catamaran 800,800,sans-serif,-4.563951,7.5815167,1
Catamaran 900,900,sans-serif,-4.7334576,7.1482806,1
Merriweather Sans 300,300,sans-serif,-2.5956602,9.973132,0
Merriweather Sans 300italic,300italic,sans-serif,2.2318347,9.636361,2
Merriweather Sans regular,regular,sans-serif,-3.1931338,9.092932,1
Merriweather Sans italic,italic,sans-serif,2.8171136,9.599566,2
Merriweather Sans 700,700,sans-serif,-3.7470288,8.127334,1
Merriweather Sans 700italic,700italic,sans-serif,3.571851,9.337006,2
Merriweather Sans 800,800,sans-serif,-3.9618413,7.643534,1
Merriweather Sans 800italic,800italic,sans-serif,3.705684,9.278426,2
Fira Sans 100,100,sans-serif,-0.3568759,11.957921,0
Fira Sans 100italic,100italic,sans-serif,1.24686,10.398079,0
Fira Sans 200,200,sans-serif,-1.481922,11.312116,0
Fira Sans 200italic,200italic,sans-serif,1.4979035,9.96838,0
Fira Sans 300,300,sans-serif,-1.622212,11.090763,0
Fira Sans 300italic,300italic,sans-serif,1.6564101,9.843768,0
Fira Sans regular,regular,sans-serif,-2.9936523,9.318195,0
Fira Sans italic,italic,sans-serif,2.6106534,9.373458,2
Fira Sans 500,500,sans-serif,-3.345456,7.8071737,1
Fira Sans 500italic,500italic,sans-serif,3.6117077,9.585279,2
Fira Sans 600,600,sans-serif,-3.314873,7.576293,1
Fira Sans 600italic,600italic,sans-serif,3.7951062,9.705747,2
Fira Sans 700,700,sans-serif,-3.2894552,7.3341813,1
Fira Sans 700italic,700italic,sans-serif,3.9412963,9.77466,2
Fira Sans 800,800,sans-serif,-3.39985,7.077953,1
Fira Sans 800italic,800italic,sans-serif,4.1070094,9.898922,2
Fira Sans 900,900,sans-serif,-3.42086,6.876281,1
Fira Sans 900italic,900italic,sans-serif,4.145771,9.899397,2
Abril Fatface regular,regular,display,-4.5177636,-0.31394333,3
Exo 2 100,100,sans-serif,-0.39955837,11.904515,0
Exo 2 100italic,100italic,sans-serif,1.1969701,10.376521,0
Exo 2 200,200,sans-serif,-1.2249656,11.352642,0
Exo 2 200italic,200italic,sans-serif,1.3174212,9.970443,0
Exo 2 300,300,sans-serif,-1.8135792,10.642415,0
Exo 2 300italic,300italic,sans-serif,1.5202215,9.50357,0
Exo 2 regular,regular,sans-serif,-3.2157793,9.786708,0
Exo 2 italic,italic,sans-serif,2.0349514,9.149732,2
Exo 2 500,500,sans-serif,-3.4962583,9.35414,1
Exo 2 500italic,500italic,sans-serif,2.3240118,9.143975,2
Exo 2 600,600,sans-serif,-4.1707463,8.412741,1
Exo 2 600italic,600italic,sans-serif,3.4520667,9.311739,2
Exo 2 700,700,sans-serif,-3.9730942,7.909269,1
Exo 2 700italic,700italic,sans-serif,3.6444962,9.324982,2
Exo 2 800,800,sans-serif,-4.1571093,7.2510233,1
Exo 2 800italic,800italic,sans-serif,3.796588,9.258582,2
Exo 2 900,900,sans-serif,-4.3719897,7.000811,1
